fid,City,Nation,"City,Nation",Latitude,Longitude,cucu,wkt
"1",Carballo,Spain,"Carballo,Spain",43.2128129,-8.6915927,"1","LINESTRING (-8.4115401 43.3623436 ,-8.6915927 43.2128129)"
"2",Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035,"1","LINESTRING (-8.4115401 43.3623436 ,2.1734035 41.3850639)"
"3",Krasnodar,Russia,"Krasnodar,Russia",45.0392674,38.9872209,"1","LINESTRING (-8.4115401 43.3623436 ,38.9872209 45.0392674)"
"4",Luserna San Giovanni,Italy,"Luserna San Giovanni,Italy",44.8170347,7.2445882,"1","LINESTRING (-8.4115401 43.3623436 ,7.2445882 44.8170347)"
"5",Cascais,Portugal,"Cascais,Portugal",38.6967571,-9.4207438,"1","LINESTRING (-8.4115401 43.3623436 ,-9.4207438 38.6967571)"
"6",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"7",Gijón,Spain,"Gijón,Spain",43.5322015,-5.6611195,"1","LINESTRING (-8.4115401 43.3623436 ,-5.6611195 43.5322015)"
"8",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"9",Grüt (Gossau ZH),Swizerland,"Grüt (Gossau ZH),Swizerland",47.31,8.78436,"1","LINESTRING (-8.4115401 43.3623436 ,8.78436 47.31)"
"10",Berlin,Germany,"Berlin,Germany",52.5200066,13.404954,"1","LINESTRING (-8.4115401 43.3623436 ,13.404954 52.5200066)"
"11",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"12",Valencia,Spain,"Valencia,Spain",39.4699075,-0.3762881,"1","LINESTRING (-8.4115401 43.3623436 ,-0.3762881 39.4699075)"
"13",Madrid,Spain,"Madrid,Spain",40.4167754,-3.7037902,"1","LINESTRING (-8.4115401 43.3623436 ,-3.7037902 40.4167754)"
"14",Oviedo,Spain,"Oviedo,Spain",43.3619145,-5.8493887,"1","LINESTRING (-8.4115401 43.3623436 ,-5.8493887 43.3619145)"
"15",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"16",Schiedam,Netherlands,"Schiedam,Netherlands",51.9169599,4.3988186,"1","LINESTRING (-8.4115401 43.3623436 ,4.3988186 51.9169599)"
"17",Nigran,Spain,"Nigran,Spain",42.1459862,-8.7811645,"1","LINESTRING (-8.4115401 43.3623436 ,-8.7811645 42.1459862)"
"18",Berlin,Germany,"Berlin,Germany",52.5200066,13.404954,"1","LINESTRING (-8.4115401 43.3623436 ,13.404954 52.5200066)"
"19",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"20",A Coruña ,Spain,"A Coruña ,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"21",Santiago de Compostela,Spain,"Santiago de Compostela,Spain",42.8782132,-8.5448445,"1","LINESTRING (-8.4115401 43.3623436 ,-8.5448445 42.8782132)"
"22",Alicante,Spain,"Alicante,Spain",38.3459963,-0.4906855,"1","LINESTRING (-8.4115401 43.3623436 ,-0.4906855 38.3459963)"
"23",Barcelona,Spain,"Barcelona,Spain",41.3850639,2.1734035,"1","LINESTRING (-8.4115401 43.3623436 ,2.1734035 41.3850639)"
"24",A Coruña,Spain,"A Coruña,Spain",43.3623436,-8.4115401,"1","LINESTRING (-8.4115401 43.3623436 ,-8.4115401 43.3623436)"
"25",Paris,France,"Paris,France",48.856614,2.3522219,"1","LINESTRING (-8.4115401 43.3623436 ,2.3522219 48.856614)"
"26",Pontevedra,Spain,"Pontevedra,Spain",42.4298846,-8.6446202,"1","LINESTRING (-8.4115401 43.3623436 ,-8.6446202 42.4298846)"
"27",San cristobal,Venezuela,"San cristobal,Venezuela",7.7713572,-72.2261466,"1","LINESTRING (-8.4115401 43.3623436 ,-72.2261466 7.7713572)"
